Vital House Number,Vital Street Name,Block,Lot,Condemnation Legislation,Most Recent Inspection,Latitude,Longitude
58, CRAWFORD ST.,114,97,no,07-16-2013,40.72882859,-74.18102402
84, WEST KINNEY STREET,114.01,47,yes,09-24-2013,40.72980152,-74.18029099
451, WASHINGTON ST.,115,17,yes,09-24-2013,40.72941152,-74.17946286
11, GOBLE ST.,1164,4,no,09-20-2013,40.72131876,-74.17310659
35, GOBLE ST.,1166,8,yes,09-20-2013,40.7202512,-74.17360533
493, WASHINGTON ST.,121,41,yes,09-24-2013,40.72805862,-74.18013483
499, WASHINGTON ST.,121,46,no,09-24-2013,40.72786518,-74.1802143
517, WASHINGTON ST.,122,41,no,03-24-2014,40.72720747,-74.18046296
519, WASHINGTON ST.,122,42,no,09-24-2013,40.72713903,-74.1804872
191-193, LITTLETON AVE.,1778,11,no,03-17-2014,40.7407017,-74.1958209
201, LITTLETON AVE.,1778,16,no,12-11-2013,40.74041101,-74.19594818
187-189, LITTLETON AVE.,1778,9,no,03-10-2014,40.74083296,-74.19575639
224-226, SOUTH SEVENTH ST.,1779,63,no,09-20-2013,40.74114852,-74.1969819
309, SOUTH ORANGE AVE.,1779,39,no,10-01-2013,40.73967451,-74.19757634
228, SOUTH SEVENTH ST.,1779,61,no,03-26-2014,40.74105607,-74.19704134
332-334, THIRTEENTH AVE,1779,5,no,08-30-2013,40.7415541,-74.19649877
284-286, SOUTH EIGHTH ST.,1780,46,yes,03-24-2014,40.74037447,-74.19837209
231, SOUTH SEVENTH ST.,1780,18,no,03-26-2014,40.74110129,-74.19762644
255, SOUTH SEVENTH ST.,1780,30,no,09-13-2013,40.74033013,-74.198008
350, THIRTEENTH AVE.,1780,5,no,08-30-2013,40.74181262,-74.19742072
319, SOUTH ORANGE AVE.,1780,36,no,10-01-2013,40.73983851,-74.19821693
329, SOUTH ORANGE AVE.,1780,41,no,10-01-2013,40.7399231,-74.19865006
348, THIRTEENTH AVE.,1780,6,no,03-04-2014,40.74178894,-74.19733632
280, SOUTH NINTH ST.,1781,66,yes,03-14-2014,40.74183069,-74.19865552
253, SOUTH EIGHTH STREET,1781,14,yes,03-14-2014,40.74154119,-74.19841311
370-374, THIRTEENTH AVE.,1781,4,no,,40.74222074,-74.19849236
270, SOUTH NINTH ST.,1781,3,no,09-30-2013,40.74215455,-74.19852832
265-267, SOUTH EIGHTH ST,1781,21,no,09-23-2013,40.74110666,-74.1986278
269, SOUTH EIGHTH ST,1781,22,no,09-23-2013,40.7410109,-74.19867503
340-342, SOUTH TENTH ST.,1782,50,yes,09-16-2013,40.7410748,-74.20003428
348-350, SOUTH TENTH ST.,1782,46,yes,09-06-2013,40.74082435,-74.20015812
283, SOUTH NINTH ST.,1782,13,yes,11-06-2013,40.74186011,-74.19925913
356, SOUTH ELEVENTH ST,1783,61,yes,09-17-2013,40.74189534,-74.20063185
360-364, SOUTH ELEVENTH ST,1783,57,no,09-17-2013,40.74170018,-74.20072027
406, THIRTEENTH AVE,1783,1,no,03-17-2014,40.74266679,-74.20039585
378-380, SOUTH ELEVENTH ST,1783,49,no,09-17-2013,40.74115206,-74.20099878
369, SOUTH ELEVENTH ST,1784,24,yes,09-17-2013,40.74165366,-74.20136776
345, SOUTH ELEVENTH ST.,1784,13,yes,09-18-2013,40.74238671,-74.20100669
361, SOUTH ELEVENTH ST,1784,20,yes,09-18-2013,40.74188516,-74.20125375
373, SOUTH ELEVENTH ST.,1784,26,yes,09-11-2013,40.74149935,-74.20144377
375, SOUTH ELEVENTH ST,1784,28,yes,09-11-2013,40.7414222,-74.20148178
